date,num
2022-07-31,2
2022-08-11,3
2022-08-15,3
2022-08-17,2
2022-08-22,2
2022-08-23,2
2022-09-04,4
2022-09-06,3
2022-09-07,2
2022-09-19,5
2022-09-20,2
2022-09-21,2
2022-09-28,3
2022-09-29,4
2022-10-06,5
2022-10-11,3
2022-10-12,3
2022-10-13,6
2022-10-18,4
2022-10-19,16
2022-10-20,7
2022-10-23,2
2022-10-24,4
2022-10-27,8
2022-10-30,2
2022-10-31,8
2022-11-02,9
2022-11-03,7
2022-11-06,3
2022-11-07,15
2022-11-08,10
2022-11-09,9
2022-11-13,2
2022-11-14,5
2022-11-17,4
2022-11-20,23
2022-11-21,2
2022-11-22,16
2022-11-23,5
2022-11-27,4
2022-11-28,10
2022-11-29,1
2022-11-30,10
2022-12-01,11
2022-12-07,3
2022-12-08,12
2022-12-11,15
2022-12-12,10
